FID1	IID1	FID2	IID2	MOST_LIKELY_REL	LIKELIHOOD_VECTOR	IBD0	IBD1	IBD2	PI_HAT	-1	POSSIBLE_RELS	LIKELIHOOD_CUTOFF
0	id5	0	id14	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id5	0	id18	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id5	0	id19	CGH	0,7.27932425524687e-11,0.393425490516817,0.605422542437235,0.00115196697315498,1.11425184978736e-47	0.606	0.393	0.0	0.1968	-1	HAG,CGH	0.3
0	id5	0	id20	CGH	0,1.24013393735403e-14,0.142799874985438,0.836189733885182,0.0210103911293386,2.9245149873126e-14	0.695	0.304	0.0	0.1523	-1	CGH	0.3
0	id6	0	id10	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id6	0	id11	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id6	0	id12	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id6	0	id13	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id6	0	id14	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id6	0	id15	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
