Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related	p_value
full.genome_network10	1	F036345	NA	F002407	F002407	2	0.00000000000000000000016599
full.genome_network11	1	Missing1	NA	F002407	F002407	1	0.0000000000000016981
full.genome_network12	1	Missing1	NA	F002407	F002407	1	0.0000013407
full.genome_network13	1	Missing1	NA	F002407	F002407	1	0.0000012221
full.genome_network1	1	Missing1	NA	F002720	F002720	2	<10^-80
full.genome_network2	1	Missing3	NA	F002720	F002720	2	<10^-80
full.genome_network3	1	F024110	NA	F002720	F002720	6	0.0000000000000000000000000000000000000000000000000000000051291
full.genome_network4	1	F024121	NA	F002720	F002720	7	0.000000000000000000000000000053085
full.genome_network5	1	F036273	NA	F002720	F002720	2	0.000048289
full.genome_network6	1	Missing1	NA	F002720	F002720	1	0.0000000021858
full.genome_network7	1	F036314	NA	F002720	F002720	2	0.038964
full.genome_network8	1	Missing1	NA	F002720	F002720	1	0.00000022373
full.genome_network9	1	Missing1	NA	F002720	F002720	1	0.0000049359
full.genome_network10	1	F036345	NA	F002720	F002720	2	0.000067660
full.genome_network11	1	Missing1	NA	F002720	F002720	1	0.00000000000000000000074257
full.genome_network12	1	Missing1	NA	F002720	F002720	1	0.000000064232
full.genome_network13	1	Missing1	NA	F002720	F002720	1	0.000000015399
full.genome_network1	1	Missing1	NA	F002733	F002733	1	0.0000000000019505
full.genome_network2	1	Missing3	NA	F002733	F002733	7	0.000000000000000086262
full.genome_network3	1	F024110	NA	F002733	F002733	2	0.00000052169
full.genome_network4	1	F024121	NA	F002733	F002733	2	0.0000000049588
full.genome_network5	2	F036279	NA	F002733	F002733	8	0.000038790
full.genome_network6	1	Missing1	NA	F002733	F002733	7	0.0000000000000000000000000000000019460
full.genome_network7	1	F036314	NA	F002733	F002733	2	0.000018612
full.genome_network8	1	Missing1	NA	F002733	F002733	7	0.00000000000000000000000000000000000000019315
full.genome_network9	1	Missing1	NA	F002733	F002733	1	0.00088309
full.genome_network10	1	F036345	NA	F002733	F002733	7	0.0000000000000000000000000023423
full.genome_network11	1	Missing1	NA	F002733	F002733	1	0.00000000000000000051761
full.genome_network12	1	Missing1	NA	F002733	F002733	6	0.0000000000000000000000018796
full.genome_network13	1	Missing1	NA	F002733	F002733	1	0.0000000030609
full.genome_network1	1	Missing1	NA	F002981	F002981	1	0.00000035038
full.genome_network2	1	Missing3	NA	F002981	F002981	1	0.00000020190
full.genome_network3	1	F024110	NA	F002981	F002981	2	0.00043607
full.genome_network4	1	F024121	NA	F002981	F002981	2	0.000026548
full.genome_network5	1	F036273	NA	F002981	F002981	2	0.0000042466
full.genome_network6	1	Missing1	NA	F002981	F002981	1	0.00000000013628
full.genome_network7	1	F036314	NA	F002981	F002981	2	0.014690
full.genome_network8	1	Missing1	NA	F002981	F002981	1	0.0000000033585
full.genome_network9	1	Missing1	NA	F002981	F002981	1	0.0000000028320
full.genome_network10	1	F036345	NA	F002981	F002981	2	0.000064837
full.genome_network11	1	Missing1	NA	F002981	F002981	1	0.0000000000000010089
full.genome_network12	1	Missing1	NA	F002981	F002981	1	0.00000012831
full.genome_network13	1	Missing1	NA	F002981	F002981	1	0.000090412
full.genome_network1	1	Missing1	NA	F003017	F003017	1	0.000000000022717
full.genome_network2	1	Missing3	NA	F003017	F003017	1	0.0000000012553
full.genome_network3	1	F024110	NA	F003017	F003017	2	0.00028829
full.genome_network4	1	F024121	NA	F003017	F003017	2	0.00029666
full.genome_network5	1	F036273	NA	F003017	F003017	2	0.0000043555
full.genome_network6	1	Missing1	NA	F003017	F003017	6	0.00000000000000000000000000000000000022939
full.genome_network7	1	F036314	NA	F003017	F003017	2	0.0019711
full.genome_network8	1	Missing1	NA	F003017	F003017	1	0.000051645
full.genome_network9	1	Missing1	NA	F003017	F003017	1	0.0000000000046971
full.genome_network10	1	F036345	NA	F003017	F003017	7	0.0000000000000000000000000000045267
full.genome_network11	1	Missing1	NA	F003017	F003017	1	0.00000000000000033661
full.genome_network12	1	Missing1	NA	F003017	F003017	1	0.00000017074
full.genome_network13	1	Missing1	NA	F003017	F003017	1	0.000000095187
full.genome_network1	1	Missing1	NA	F003038	F003038	1	0.00000067806
full.genome_network2	1	Missing3	NA	F003038	F003038	1	0.0000000060808
full.genome_network3	1	F024110	NA	F003038	F003038	8	0.00000000000055187
full.genome_network4	1	F024121	NA	F003038	F003038	8	0.00000000000015449
full.genome_network5	1	F036273	NA	F003038	F003038	2	0.0000015522
full.genome_network6	1	Missing1	NA	F003038	F003038	1	0.0000000054124
full.genome_network7	1	F036314	NA	F003038	F003038	8	0.000029546
full.genome_network8	1	Missing1	NA	F003038	F003038	1	0.000017174
full.genome_network9	1	Missing1	NA	F003038	F003038	1	0.000000018760
full.genome_network10	1	F036345	NA	F003038	F003038	2	0.0034913
full.genome_network11	1	Missing1	NA	F003038	F003038	1	0.00000000000000045701
full.genome_network12	1	Missing1	NA	F003038	F003038	1	0.000000046827
full.genome_network13	1	Missing1	NA	F003038	F003038	1	0.0000000012589
full.genome_network1	1	Missing1	NA	F003282	F003282	1	0.00000000000032691
full.genome_network2	1	Missing3	NA	F003282	F003282	1	0.00000000078373
full.genome_network3	1	F024110	NA	F003282	F003282	2	0.00000033319
full.genome_network4	2	F024140	NA	F003282	F003282	8	0.0070261
full.genome_network5	1	F036273	NA	F003282	F003282	6	0.00000000000000000000000000000000000000000028105
full.genome_network6	1	Missing1	NA	F003282	F003282	4	<10^-80
full.genome_network7	1	F036314	NA	F003282	F003282	2	0.0067691
full.genome_network8	1	Missing1	NA	F003282	F003282	1	0.00000000000039640
full.genome_network9	1	Missing1	NA	F003282	F003282	7	0.000000000000000000000000000000017300
full.genome_network10	1	F036345	NA	F003282	F003282	7	0.00000000000000000000000000049202
full.genome_network11	1	Missing1	NA	F003282	F003282	1	0.00000000000000087900
full.genome_network12	1	Missing1	NA	F003282	F003282	1	0.0000000069719
full.genome_network13	1	Missing1	NA	F003282	F003282	1	0.00000000000018691
full.genome_network1	1	Missing1	NA	F003323	F003323	1	0.00000036561
full.genome_network2	1	Missing3	NA	F003323	F003323	1	0.00000040664
full.genome_network3	1	F024110	NA	F003323	F003323	2	0.000000016474
full.genome_network4	1	F024121	NA	F003323	F003323	2	0.040012
full.genome_network5	1	F036273	NA	F003323	F003323	2	0.000053805
full.genome_network6	1	Missing1	NA	F003323	F003323	1	0.000075415
full.genome_network7	1	F036314	NA	F003323	F003323	2	0.0000013626
full.genome_network8	1	Missing1	NA	F003323	F003323	1	0.000000023758
full.genome_network9	1	Missing1	NA	F003323	F003323	1	0.00000000038092
full.genome_network10	1	F036345	NA	F003323	F003323	2	0.00017313
full.genome_network11	1	Missing1	NA	F003323	F003323	1	0.000000000000000043282
full.genome_network12	1	Missing1	NA	F003323	F003323	7	0.000000000000000039511
full.genome_network13	1	Missing1	NA	F003323	F003323	1	0.000000000039099
full.genome_network1	1	Missing1	NA	F003931	F003931	1	0.000000000052928
full.genome_network2	1	Missing3	NA	F003931	F003931	1	0.0000000000000000065284
full.genome_network3	1	F024110	NA	F003931	F003931	2	0.00039509
full.genome_network4	1	F024121	NA	F003931	F003931	2	0.00000019937
full.genome_network5	1	F036273	NA	F003931	F003931	2	0.00015064
full.genome_network6	1	Missing1	NA	F003931	F003931	7	0.000000000000000000000000000000016481
full.genome_network7	1	F036314	NA	F003931	F003931	2	0.0000013372
full.genome_network8	1	Missing1	NA	F003931	F003931	1	0.0000000014918
full.genome_network9	1	Missing1	NA	F003931	F003931	1	0.000000000000095001
full.genome_network10	1	F036345	NA	F003931	F003931	7	0.000000000000000085140
full.genome_network11	1	Missing1	NA	F003931	F003931	1	0.00000000000000000000025244
full.genome_network12	1	Missing1	NA	F003931	F003931	1	0.00000047696
full.genome_network13	1	Missing1	NA	F003931	F003931	6	0.000000000000000000012999
full.genome_network1	1	Missing1	NA	F004139	F004139	1	0.00000031880
full.genome_network2	1	Missing3	NA	F004139	F004139	1	0.000037034
full.genome_network3	1	F024110	NA	F004139	F004139	2	0.00054364
full.genome_network4	1	F024121	NA	F004139	F004139	2	0.00000058187
full.genome_network5	1	F036273	NA	F004139	F004139	2	0.0000046587
full.genome_network6	1	Missing1	NA	F004139	F004139	1	0.00000000000046423
full.genome_network7	1	F036314	NA	F004139	F004139	2	0.000026869
full.genome_network8	1	Missing1	NA	F004139	F004139	1	0.0000000024412
full.genome_network9	1	Missing1	NA	F004139	F004139	1	0.00000000000066957
full.genome_network10	1	F036345	NA	F004139	F004139	7	0.000000000000093467
full.genome_network11	1	Missing1	NA	F004139	F004139	1	0.0000000000014186
full.genome_network12	1	Missing1	NA	F004139	F004139	1	0.00010394
full.genome_network13	1	Missing1	NA	F004139	F004139	8	0.0000000000015666
full.genome_network1	1	Missing1	NA	F004701	F004701	2	<10^-80
full.genome_network2	1	Missing3	NA	F004701	F004701	2	<10^-80
full.genome_network3	1	F024110	NA	F004701	F004701	6	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000058104
full.genome_network4	1	F024121	NA	F004701	F004701	5	0.0000000000010782
full.genome_network5	1	F036273	NA	F004701	F004701	2	0.000044555
full.genome_network6	1	Missing1	NA	F004701	F004701	1	0.00000000000034126
full.genome_network7	1	F036314	NA	F004701	F004701	2	0.000055189
full.genome_network8	1	Missing1	NA	F004701	F004701	1	0.0000018803
full.genome_network9	1	Missing1	NA	F004701	F004701	1	0.000000000015794
full.genome_network10	1	F036345	NA	F004701	F004701	2	0.00030294
