Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related
full.genome_network4	2	Missing2	NA	F003038	F003038	7
full.genome_network5	1	all	NA	F003038	all	UN
full.genome_network6	1	all	NA	F003038	all	UN
full.genome_network7	1	Missing2	NA	F003038	F003038	8
full.genome_network8	1	all	NA	F003038	all	UN
full.genome_network9	1	all	NA	F003038	all	UN
full.genome_network10	1	all	NA	F003038	all	UN
full.genome_network11	1	all	NA	F003038	all	UN
full.genome_network12	1	all	NA	F003038	all	UN
full.genome_network13	1	all	NA	F003038	all	UN
full.genome_network1	1	all	NA	F003282	all	UN
full.genome_network2	1	all	NA	F003282	all	UN
full.genome_network3	1	Missing4	NA	F003282	F003282	8
full.genome_network4	2	Missing2	NA	F003282	F003282	8
full.genome_network5	2	F036273	NA	F003282	F003282	6
full.genome_network6	1	Missing1	NA	F003282	F003282	5
full.genome_network7	1	Missing2	NA	F003282	F003282	7
full.genome_network8	1	all	NA	F003282	all	UN
full.genome_network9	1	Missing1	NA	F003282	F003282	7
full.genome_network10	1	F036345	NA	F003282	F003282	7
full.genome_network11	1	Missing12	NA	F003282	F003282	7
full.genome_network12	1	all	NA	F003282	all	UN
full.genome_network13	1	all	NA	F003282	all	UN
full.genome_network1	1	all	NA	F003323	all	UN
full.genome_network2	1	Missing8	NA	F003323	F003323	8
full.genome_network3	1	Missing4	NA	F003323	F003323	8
full.genome_network4	1	all	NA	F003323	all	UN
full.genome_network5	1	all	NA	F003323	all	UN
full.genome_network6	1	all	NA	F003323	all	UN
full.genome_network7	2	Missing4	NA	F003323	F003323	8
full.genome_network8	1	Missing1	NA	F003323	F003323	8
full.genome_network9	1	all	NA	F003323	all	UN
full.genome_network10	1	all	NA	F003323	all	UN
full.genome_network11	1	Missing1	NA	F003323	F003323	7
full.genome_network12	1	Missing1	NA	F003323	F003323	7
full.genome_network13	1	all	NA	F003323	all	UN
full.genome_network1	1	Missing1	NA	F003931	F003931	8
full.genome_network2	1	Missing3	NA	F003931	F003931	7
full.genome_network3	1	all	NA	F003931	all	UN
full.genome_network4	2	Missing2	NA	F003931	F003931	7
full.genome_network5	1	all	NA	F003931	all	UN
full.genome_network6	1	Missing1	NA	F003931	F003931	7
full.genome_network7	1	F036314	NA	F003931	F003931	8
full.genome_network8	1	all	NA	F003931	all	UN
full.genome_network9	1	Missing1	NA	F003931	F003931	8
full.genome_network10	1	F036345	NA	F003931	F003931	8
full.genome_network11	1	Missing12	NA	F003931	F003931	7
full.genome_network12	1	Missing1	NA	F003931	F003931	8
full.genome_network13	1	Missing1	NA	F003931	F003931	7
full.genome_network1	1	all	NA	F004139	all	UN
full.genome_network2	1	all	NA	F004139	all	UN
full.genome_network3	1	all	NA	F004139	all	UN
full.genome_network4	1	all	NA	F004139	all	UN
full.genome_network5	1	Missing2	NA	F004139	F004139	8
full.genome_network6	1	Missing1	NA	F004139	F004139	8
full.genome_network7	1	Missing2	NA	F004139	F004139	8
full.genome_network8	1	Missing1	NA	F004139	F004139	8
full.genome_network9	1	Missing1	NA	F004139	F004139	8
full.genome_network10	1	F036345	NA	F004139	F004139	8
full.genome_network11	1	Missing12	NA	F004139	F004139	8
full.genome_network12	1	all	NA	F004139	all	UN
full.genome_network13	1	Missing1	NA	F004139	F004139	8
full.genome_network1	1	Missing1	NA	F004701	F004701	2
full.genome_network2	1	Missing3	NA	F004701	F004701	2
full.genome_network3	2	F024110	NA	F004701	F004701	6
full.genome_network4	2	F024140	NA	F004701	F004701	7
full.genome_network5	1	all	NA	F004701	all	UN
full.genome_network6	1	Missing1	NA	F004701	F004701	8
full.genome_network7	1	Missing2	NA	F004701	F004701	8
full.genome_network8	1	all	NA	F004701	all	UN
full.genome_network9	1	Missing1	NA	F004701	F004701	8
full.genome_network10	1	all	NA	F004701	all	UN
full.genome_network11	1	all	NA	F004701	all	UN
full.genome_network12	1	all	NA	F004701	all	UN
full.genome_network13	1	all	NA	F004701	all	UN
full.genome_network1	1	Missing1	NA	F004703	F004703	2
full.genome_network2	1	Missing3	NA	F004703	F004703	2
full.genome_network3	2	F024110	NA	F004703	F004703	6
full.genome_network4	2	F024140	NA	F004703	F004703	5
full.genome_network5	1	Missing2	NA	F004703	F004703	8
full.genome_network6	1	all	NA	F004703	all	UN
full.genome_network7	1	all	NA	F004703	all	UN
full.genome_network8	1	all	NA	F004703	all	UN
full.genome_network9	1	all	NA	F004703	all	UN
full.genome_network10	1	all	NA	F004703	all	UN
full.genome_network11	1	all	NA	F004703	all	UN
full.genome_network12	1	all	NA	F004703	all	UN
full.genome_network13	1	Missing1	NA	F004703	F004703	8
full.genome_network1	1	all	NA	F004944	all	UN
full.genome_network2	1	F021340	NA	F004944	F004944	8
full.genome_network3	1	Missing4	NA	F004944	F004944	7
full.genome_network4	1	all	NA	F004944	all	UN
full.genome_network5	1	Missing2	NA	F004944	F004944	7
full.genome_network6	1	Missing1	NA	F004944	F004944	8
full.genome_network7	1	all	NA	F004944	all	UN
full.genome_network8	1	Missing1	NA	F004944	F004944	8
full.genome_network9	1	all	NA	F004944	all	UN
full.genome_network10	1	F036345	NA	F004944	F004944	8
full.genome_network11	1	Missing6	NA	F004944	F004944	7
full.genome_network12	1	Missing1	NA	F004944	F004944	8
full.genome_network13	1	Missing1	NA	F004944	F004944	8
full.genome_network1	1	all	NA	F004961	all	UN
full.genome_network2	1	F021340	NA	F004961	F004961	8
full.genome_network3	2	F024110	NA	F004961	F004961	8
full.genome_network4	1	all	NA	F004961	all	UN
full.genome_network5	2	Missing4	NA	F004961	F004961	8
full.genome_network6	1	Missing1	NA	F004961	F004961	8
full.genome_network7	1	all	NA	F004961	all	UN
full.genome_network8	1	Missing1	NA	F004961	F004961	8
full.genome_network9	1	Missing1	NA	F004961	F004961	8
full.genome_network10	1	F036345	NA	F004961	F004961	7
full.genome_network11	1	all	NA	F004961	all	UN
full.genome_network12	1	all	NA	F004961	all	UN
full.genome_network13	1	all	NA	F004961	all	UN
full.genome_network1	1	all	NA	F005561	all	UN
full.genome_network2	1	Missing3	NA	F005561	F005561	8
full.genome_network3	1	all	NA	F005561	all	UN
full.genome_network4	1	all	NA	F005561	all	UN
full.genome_network5	2	F036273	NA	F005561	F005561	5
full.genome_network6	1	Missing1	NA	F005561	F005561	5
full.genome_network7	1	all	NA	F005561	all	UN
full.genome_network8	1	Missing1	NA	F005561	F005561	8
full.genome_network9	1	Missing1	NA	F005561	F005561	6
full.genome_network10	1	F036345	NA	F005561	F005561	8
full.genome_network11	1	Missing12	NA	F005561	F005561	7
full.genome_network12	1	all	NA	F005561	all	UN
full.genome_network13	1	all	NA	F005561	all	UN
full.genome_network1	1	all	NA	F006228	all	UN
full.genome_network2	1	all	NA	F006228	all	UN
full.genome_network3	1	Missing4	NA	F006228	F006228	7
full.genome_network4	2	Missing2	NA	F006228	F006228	8
full.genome_network5	2	Missing4	NA	F006228	F006228	7
full.genome_network6	1	all	NA	F006228	all	UN
full.genome_network7	1	all	NA	F006228	all	UN
full.genome_network8	1	all	NA	F006228	all	UN
full.genome_network9	1	Missing1	NA	F006228	F006228	8
full.genome_network10	1	all	NA	F006228	all	UN
full.genome_network11	1	Missing4	NA	F006228	F006228	7
full.genome_network12	1	Missing1	NA	F006228	F006228	8
full.genome_network13	1	all	NA	F006228	all	UN
full.genome_network1	1	Missing1	NA	F006230	F006230	8
full.genome_network2	1	all	NA	F006230	all	UN
full.genome_network3	1	Missing4	NA	F006230	F006230	8
full.genome_network4	1	all	NA	F006230	all	UN
full.genome_network5	1	F036279	NA	F006230	F006230	8
full.genome_network6	1	Missing1	NA	F006230	F006230	8
full.genome_network7	1	all	NA	F006230	all	UN
full.genome_network8	1	all	NA	F006230	all	UN
full.genome_network9	1	Missing1	NA	F006230	F006230	7
full.genome_network10	1	F036345	NA	F006230	F006230	7
full.genome_network11	1	Missing4	NA	F006230	F006230	7
full.genome_network12	1	all	NA	F006230	all	UN
full.genome_network13	1	all	NA	F006230	all	UN
full.genome_network1	1	all	NA	F006243	all	UN
full.genome_network2	1	F021340	NA	F006243	F006243	8
full.genome_network3	1	Missing4	NA	F006243	F006243	8
full.genome_network4	1	all	NA	F006243	all	UN
full.genome_network5	1	Missing2	NA	F006243	F006243	8
full.genome_network6	1	all	NA	F006243	all	UN
full.genome_network7	1	all	NA	F006243	all	UN
full.genome_network8	1	Missing1	NA	F006243	F006243	8
full.genome_network9	1	Missing1	NA	F006243	F006243	8
full.genome_network10	1	all	NA	F006243	all	UN
full.genome_network11	1	all	NA	F006243	all	UN
full.genome_network12	1	all	NA	F006243	all	UN
full.genome_network13	1	all	NA	F006243	all	UN
full.genome_network1	1	all	NA	F006284	all	UN
full.genome_network2	1	Missing8	NA	F006284	F006284	8
